metric,mean
corrupt_full_cc,0.54060146963866
corrupt_full_psnr,17.407637823171864
corrupt_full_rmse,0.14424430429935456
corrupt_full_ssim,0.5579278813988549
corrupt_hole_cc,nan
corrupt_hole_psnr,13.317937189336106
corrupt_hole_rmse,0.23098496496677398
corrupt_hole_ssim,0.03879819860934208
height,512.0
mask_fraction,0.3899688720703125
pix2pix_full_cc,0.8664585666586279
pix2pix_full_psnr,24.944033310893072
pix2pix_full_rmse,0.06045885533094406
pix2pix_full_ssim,0.7594885584400203
pix2pix_hole_cc,0.6339360902067164
pix2pix_hole_psnr,21.018501105073486
pix2pix_hole_rmse,0.0949600487947464
pix2pix_hole_ssim,0.5110982810142384
width,512.0
